Красный,Красный,,,КрасныйЦвет,,,,КрасныйЦвет,,,,КрасныйЦвет,,,,КрасныйЦвет
Красный,Красный,,,Красный,,,,КрасныйЦвет,,,,КрасныйЦвет,,,,КрасныйЦвет
Красный,Красный,,,Красный,,,,Красный,,,,КрасныйЦвет,,,,КрасныйЦвет
Красный,Красный,,,Красный,,,,Красный,,,,Красный,,,,КрасныйЦвет
Красный,Красный,,,Красный,,,,Красный,,,,Красный,,,,Красный
Синий,Синий,,,СинЦвет,,,,СинЦвет,,,,СинЦвет,,,,СинЦвет
Синий,Синий,,,Синий,,,,СинЦвет,,,,СинЦвет,,,,СинЦвет
Синий,Синий,,,Синий,,,,Синий,,,,СинЦвет,,,,СинЦвет
Синий,Синий,,,Синий,,,,Синий,,,,Синий,,,,СинЦвет
Синий,Синий,,,Синий,,,,Синий,,,,Синий,,,,Синий
Зеленый,Зеленый,,,ЗеленЦвет,,,,ЗеленЦвет,,,,ЗеленЦвет,,,,ЗеленЦвет
Зеленый,Зеленый,,,Зеленый,,,,ЗеленЦвет,,,,ЗеленЦвет,,,,ЗеленЦвет
Зеленый,Зеленый,,,Зеленый,,,,Зеленый,,,,ЗеленЦвет,,,,ЗеленЦвет
Зеленый,Зеленый,,,Зеленый,,,,Зеленый,,,,Зеленый,,,,ЗеленЦвет
Зеленый,Зеленый,,,Зеленый,,,,Зеленый,,,,Зеленый,,,,Зеленый
Фиолетовый,Фиолетовый,,,ФиолетЦвет,,,,ФиолетЦвет,,,,ФиолетЦвет,,,,ФиолетЦвет
Фиолетовый,Фиолетовый,,,Фиолетовый,,,,ФиолетЦвет,,,,ФиолетЦвет,,,,ФиолетЦвет
Фиолетовый,Фиолетовый,,,Фиолетовый,,,,Фиолетовый,,,,ФиолетЦвет,,,,ФиолетЦвет
Фиолетовый,Фиолетовый,,,Фиолетовый,,,,Фиолетовый,,,,Фиолетовый,,,,ФиолетЦвет
Фиолетовый,Фиолетовый,,,Фиолетовый,,,,Фиолетовый,,,,Фиолетовый,,,,Фиолетовый
"Желтый, Красный","Желтый, Красный",,,Желтикрасн,,,,Желтикрасн,,,,Желтикрасн,,,,Желтикрасн
"Желтый, Красный","Желтый, Красный",,,"Желтый, Красный",,,,Желтикрасн,,,,Желтикрасн,,,,Желтикрасн
"Желтый, Красный","Желтый, Красный",,,"Желтый, Красный",,,,"Желтый, Красный",,,,Желтикрасн,,,,Желтикрасн
"Желтый, Красный","Желтый, Красный",,,"Желтый, Красный",,,,"Желтый, Красный",,,,"Желтый, Красный",,,,Желтикрасн
"Желтый, Красный","Желтый, Красный",,,"Желтый, Красный",,,,"Желтый, Красный",,,,"Желтый, Красный",,,,"Желтый, Красный"
Коричневый,Коричневый,,,Бурый,,,,Бурый,,,,Бурый,,,,Бурый
Коричневый,Коричневый,,,Коричневый,,,,Бурый,,,,Бурый,,,,Бурый
Коричневый,Коричневый,,,Коричневый,,,,Коричневый,,,,Бурый,,,,Бурый
Коричневый,Коричневый,,,Коричневый,,,,Коричневый,,,,Коричневый,,,,Бурый
Коричневый,Коричневый,,,Коричневый,,,,Коричневый,,,,Коричневый,,,,Коричневый
Серый,Серый,,,Серебр,,,,Серебр,,,,Серебр,,,,Серебр
Серый,Серый,,,Серый,,,,Серебр,,,,Серебр,,,,Серебр
Серый,Серый,,,Серый,,,,Серый,,,,Серебр,,,,Серебр
Серый,Серый,,,Серый,,,,Серый,,,,Серый,,,,Серебр
Серый,Серый,,,Серый,,,,Серый,,,,Серый,,,,Серый
Черный,#Н/Д,,,,,,,,,,,Красный,,,,КрасныйЦвет
Черный,#Н/Д,,,,,,,,,,,Красный,,,,Красный
,,,,,,,,,,,,Синий,,,,СинЦвет
,,,,,,,,,,,,Синий,,,,Синий
,,,,,,,,,,,,Зеленый,,,,ЗеленЦвет
,,,,,,,,,,,,Зеленый,,,,Зеленый
,,,,,,,,,,,,Фиолетовый,,,,ФиолетЦвет
,,,,,,,,,,,,Фиолетовый,,,,Фиолетовый
,,,,,,,,,,,,"Желтый, Красный",,,,
,,,,,,,,,,,,Коричневый,,,,
,,,,,,,,,,,,Серый,,,,
,,,,,,,,,,,,Красный,,,,
,,,,,,,,,,,,Синий,,,,
,,,,,,,,,,,,Зеленый,,,,
,,,,,,,,,,,,Фиолетовый,,,,
,,,,,,,,,,,,"Желтый, Красный",,,,
,,,,,,,,,,,,Коричневый,,,,
,,,,,,,,,,,,Серый,,,,
,,,,,,,,,,,,Красный,,,,
,,,,,,,,,,,,Синий,,,,
,,,,,,,,,,,,Зеленый,Мясной,,,
